"","BBCA.JK.Open","BBCA.JK.High","BBCA.JK.Low","BBCA.JK.Close","BBCA.JK.Volume","BBCA.JK.Adjusted"
"79",9600,9700,9375,9375,112808900,9050.01171875
"80",9200,9525,9200,9525,145469900,9194.8125
"81",9625,9675,9525,9550,95363500,9218.9453125
"82",9500,9600,9425,9500,54741900,9170.6787109375
"83",9575,9675,9525,9600,61126000,9267.2119140625
"84",9600,9850,9575,9750,99848500,9412.01171875
"85",9700,9800,9475,9475,87890100,9146.544921875
"86",9450,9575,9375,9375,75311400,9050.01171875
"87",9475,9575,9325,9425,121712700,9098.279296875
"88",9300,9375,9275,9300,128578500,8977.6123046875
"89",9300,9400,9300,9300,73945700,8977.6123046875
"90",9275,9325,9150,9150,117351600,8832.8125
"91",9000,9250,8775,9000,207115100,8688.01171875
"92",9100,9250,9025,9250,756431600,8929.345703125
"93",9350,9350,9225,9275,72197700,8953.478515625
"94",9525,9525,9350,9350,75353100,9025.87890625
"95",9500,9500,9300,9450,82087300,9122.4130859375
"96",9525,9525,9450,9475,44991300,9146.544921875
"97",9500,9500,9325,9325,51599800,9001.7451171875
"98",9500,9525,9450,9525,45584700,9194.8125
"99",9550,9550,9300,9300,68690900,8977.6123046875
"100",9300,9325,9250,9250,49785700,8929.345703125
